"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1_00040W",49.3716493941178,-0.0257132421404677,1.15387333352159,-0.0222842849327244,0.982221184577571,NA
"C1_00060W",10806.0631206099,0.0951514272587499,0.234005154083665,0.406621074785087,0.684286316145853,0.83370374496511
"C1_00070W",595.977975386447,0.770253755837257,0.342502139661148,2.24890202612837,0.0245187300769873,0.0802112741090013
"C1_00080C",1003.88956590461,-0.595036748904644,0.35941579589937,-1.65556649344161,0.0978096403352768,0.229027726613784
"C1_00100C",185.703909558623,-0.703931285281108,1.06690346818409,-0.659789105830939,0.509389175371424,0.70025085238653
"C1_00110W",4008.55473475106,-0.206158342383415,0.208959494950664,-0.986594758147221,0.323841340986482,0.529683421392744
"C1_00120C",722.204282969413,-0.654388274091808,0.414153835523338,-1.5800608806747,0.114092924887067,0.257932438437059
"C1_00130C",959.257468161829,-0.411596780848793,0.2655314759073,-1.5500865930956,0.121120733497142,0.269724291450686
"C1_00140W",3237.34578799807,0.25892334042094,0.188437417065695,1.37405481593219,0.169424665403939,0.341960323562266
"C1_00150C",1636.2720477697,-0.807879617631447,0.240735718498286,-3.35587765152182,0.000791135597191734,0.00447794154702963
"C1_00160C",4446.31975272826,0.652255363903258,0.149048434368502,4.37613026038668,1.20804837320879e-05,0.000107260643928199
"C1_00170W",1099.79529330891,3.18679511021104,0.351750921380171,9.05980600621302,1.30682766882287e-19,5.52486528296191e-18
"C1_00180W",22375.1588543519,1.28920170300271,0.185493285137434,6.95012599538322,3.64960113031944e-12,7.95960627469669e-11
"C1_00190C",4359.59290515816,1.58598438498864,0.247192197650501,6.41599694514237,1.39904251722069e-10,2.56304589154831e-09
"C1_00200C",111.666930304596,0.376876292097395,0.83702134165405,0.450258880320357,0.652523784779398,0.809724705610199
"C1_00210C",4100.45353443942,0.800050488884672,0.173919237020782,4.6001264873826,4.22234477152034e-06,4.10000121276957e-05
"C1_00220W",29404.436616629,-1.04515918273068,0.167697731345776,-6.23239905718022,4.59345527482746e-10,7.8646823023214e-09
"C1_00230C",821.3471562348,0.933011293995104,0.41469735669786,2.24986072114001,0.0244577880205896,0.0801072723248871
"C1_00310W",630.052580873287,1.57007472135504,0.273809246481121,5.73419174674694,9.79784393507179e-09,1.3878595429679e-07
"C1_00320W",607.60490732849,-0.294083021523746,0.224880392245315,-1.30773082787467,0.190964623249996,0.37244200474875
"C1_00330C",756.049430204635,0.117601495071157,0.330931707213699,0.355364845699769,0.722316281449221,0.857419067569097
"C1_00340W",400.709433380129,0.586339822078851,0.455209369022965,1.28806624375359,0.197722904666144,0.382366320916653
"C1_00350C",975.971525762417,-0.286426857789896,0.639725486362782,-0.447734010752646,0.654345172940551,0.81161838647738
