,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C1_00060W,10079.927071545,0.64927930044169,0.345014140551334,1.88189185348791,0.0598507007656498,0.804747907008559
C1_00070W,242.951967468603,-1.20732424571726,0.808256026831891,-1.49373986167426,0.135243625449414,0.873071321010244
C1_00080C,862.753685359134,0.892028145642964,0.490667161546954,1.8179903110504,0.0690656136665423,0.813104342554577
C1_00110W,3757.01894142319,1.5467721494655,0.42319642435156,3.6549745235573,0.000257207518095632,0.171127199469654
C1_00120C,571.565497819981,1.21753325036094,0.771875148496821,1.57737070915162,0.114710251074227,0.862872401453328
C1_00130C,713.598362057702,1.30457762062737,0.633405137312056,2.05962589151634,0.0394343190555966,0.773502468007451
C1_00140W,2420.16983788085,0.449120257143495,0.351021718448423,1.27946572402609,0.200733102279366,0.90346651710379
C1_00150C,1662.55707623618,0.994451127969132,0.341530109367393,2.91175243615015,0.00359407363890787,0.528485113602911
C1_00160C,4186.95030553122,0.810984517037221,0.300364565261146,2.70000063533502,0.00693393436452296,0.588999675701822
C1_00170W,1086.36976351746,0.508617123566364,0.499696092434105,1.01785291353551,0.308747861422291,0.913703879686606
C1_00180W,16738.2134850011,0.505424963406691,0.331183592323063,1.52611716015707,0.126980689175776,0.872375015415045
C1_00190C,2254.58037587897,-0.56442710769728,1.07591640806381,-0.52460126406382,0.599860407821398,0.95887068230307
C1_00200C,54.4637141735794,-0.256917210947113,1.64140099232128,-0.156523123934377,0.87562069361158,0.988498001844177
C1_00210C,4199.79531522063,0.374853152735941,0.291115885401891,1.28764238412634,0.197870478204686,0.899981746892136
C1_00220W,25976.71246356,0.237959892871537,0.355837453920663,0.668732001788076,0.503666449670543,0.9544445184834
C1_00230C,431.008531529177,-1.51061298320348,0.710304521626433,-2.12671176546156,0.0334440393463834,0.773502468007451
C1_00310W,518.277799529725,-0.0286349597539347,0.592474268469486,-0.0483311449590988,0.961452333461411,0.995725418230805
C1_00320W,412.627268812766,-0.395542586315586,0.61739150565534,-0.640667360487462,0.521738824637411,0.9544445184834
C1_00330C,389.439618028491,0.238757309760344,0.871335616220768,0.274013027030736,0.784074610548912,0.98500176332178
C1_00340W,408.278648342771,1.02242011819297,0.689451671961107,1.48294675286631,0.138088558407444,0.873071321010244
C1_00350C,806.398173744421,-0.307318641587241,0.938848142653996,-0.327335835930285,0.743413890879995,0.98500176332178
C1_00360W,190.309309884234,-0.129928700291484,1.25536060750038,-0.103499105767062,0.917566859178699,0.994042692065011
C1_00370W,146.883226507452,-0.100075008060384,1.25214986842822,-0.0799225480780546,0.936298856418981,0.994042692065011
C1_00380C,1165.7782047552,0.439467058081592,0.456629164398152,0.962415658800112,0.335840851000179,0.92077202796741
C1_00390W,610.77973873672,-0.255878372440898,0.613132183676477,-0.417329866631032,0.676437145643017,0.983650165304635
C1_00400W,3720.7873807872,0.0249785358321795,0.377920856712761,0.0660946211051921,0.94730249322545,0.994756769030594
C1_00410C,1877.60661081887,1.23033777705992,0.529723291678082,2.3226046435723,0.0202004010399134,0.713487687549511
C1_00420W,2030.18129742274,-0.336193360352863,0.656209596007157,-0.512326187240328,0.608422740579825,0.960882479029176
C1_00430W,680.90167724629,0.67861690877249,0.627497419034169,1.08146565736797,0.279490029213516,0.913703879686606
C1_00440W,57.3761524351319,-0.871212947901942,1.73263439626322,-0.502825610400491,0.615086885994958,0.961559077720175
C1_00450C,979.417410559724,0.162983366282221,0.618466136165119,0.263528359519925,0.792143368072299,0.98500176332178
C1_00460W,423.905400758242,-1.95287542522195,0.631779093483506,-3.09107320163791,0.00199434461020436,0.463504194463179
C1_00470C,692.440358937489,-0.247646721838574,0.496390279976338,-0.498895187573735,0.617853224496269,0.961559077720175
C1_00480C,1580.33419006495,0.206262891710131,0.349951812250029,0.589403696423102,0.555590497475945,0.956455180646075
C1_00490C,3111.87646901658,0.327247720747241,0.527398716488124,0.620493965033398,0.534932626012999,0.954830933037319
C1_00500C,4109.62212959404,0.249080190639006,0.32731697608809,0.760975472814986,0.446671717237565,0.950127429032853
C1_00510W,523.017977252883,-0.283740377952907,0.660265930894975,-0.42973651172385,0.667387320586276,0.982097717502128
C1_00520W,382.265783745151,1.28214680162632,0.953914651702194,1.34408964086925,0.178919401517408,0.887519239173747
C1_00530C,1049.43315702603,-0.539066740737748,0.459293185150947,-1.1736876534769,0.240520157379013,0.913703879686606
C1_00540C,608.562923687472,-0.560811133114528,0.414155361786805,-1.35410810738994,0.175701890023105,0.885527373945066
C1_00550W,378.081784178045,-0.292964579389699,0.511477295896569,-0.572781200143324,0.566792849751316,0.957210489468818
C1_00560W,575.793435924137,-0.541129463633298,0.595128773992056,-0.909264494142105,0.363210527785623,0.923853714551221
C1_00570C,587.719084734871,-0.17075298488866,0.878830327752708,-0.194295735475242,0.845944324608369,0.98500176332178
C1_00580W,322.680390993337,-0.510605628157725,0.844403718416845,-0.604693722944575,0.545382519670984,0.955225413058429
C1_00590W,8633.44156327658,-0.198876941773488,0.32172351597339,-0.618161035483452,0.536469191967259,0.954830933037319
C1_00600W,1042.92609505895,0.0493575747782374,0.551086811831932,0.0895640645330672,0.928633641945844,0.994042692065011
C1_00610W,2765.29338578245,0.912213687658439,0.330550029412673,2.7596841823892,0.00578572632054312,0.550423361615756
C1_00620W,836.241067132235,0.164968877387224,0.399628404909441,0.412805684882704,0.67974898603292,0.983650165304635
C1_00630W,415.997022754614,1.03520146219938,0.906195040468145,1.14236054708994,0.25330418338681,0.913703879686606
