,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
C2_10560C,78108.9031205395,2.77228925562928,0.564173529115922,4.91389459546878,8.9284763692861e-07,0.00240711722915953
C5_01920C,1126.2673660032,-1.78706127624126,0.356225744086309,-5.01665392214965,5.2579154902876e-07,0.00240711722915953
