"row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1_00170W",1099.79529330891,3.18679511021104,0.351750921380171,9.05980600621302,1.30682766882287e-19,5.52486528296191e-18
"C1_00180W",22375.1588543519,1.28920170300271,0.185493285137434,6.95012599538322,3.64960113031944e-12,7.95960627469669e-11
"C1_00190C",4359.59290515816,1.58598438498864,0.247192197650501,6.41599694514237,1.39904251722069e-10,2.56304589154831e-09
"C1_00220W",29404.436616629,-1.04515918273068,0.167697731345776,-6.23239905718022,4.59345527482746e-10,7.8646823023214e-09
"C1_00310W",630.052580873287,1.57007472135504,0.273809246481121,5.73419174674694,9.79784393507179e-09,1.3878595429679e-07
"C1_00400W",5044.34662053271,-1.36012712194615,0.146863660688484,-9.26115497577815,2.02232642105104e-20,8.96347258878753e-19
"C1_00630W",628.462629729313,-2.01729595083874,0.620175927726113,-3.25278015584253,0.00114281877635059,0.00615777646551258
"C1_00670C",639.473125430227,1.8046751020462,0.520774087649872,3.46537038774388,0.000529501686891355,0.0031743846446251
"C1_00740C",4865.65091801428,1.16444716116833,0.179200286512655,6.49802064399096,8.13836391149606e-11,1.5530711131105e-09
"C1_00800C",2424.12076699712,-1.12464521237222,0.397556179098533,-2.82889632082282,0.00467088280758629,0.0203416576152886
"C1_00970W",93.0629357445034,2.10698899031536,0.837875012148499,2.51468173625631,0.0119139880677428,0.0446652649524655
"C1_01100W",7511.09717823682,-1.41655858364401,0.147837662266387,-9.58185189029526,9.53202256568692e-22,5.03730730971301e-20
"C1_01210W",569.524603407177,-1.17017454201424,0.393378969854518,-2.97467488525631,0.00293299216878122,0.0138366737850829
"C1_01220C",656.410252807884,-1.9314373257342,0.710586996066582,-2.71808706945888,0.00656605569302988,0.0270517556888248
"C1_01240W",384.410467283411,-1.85100365911996,0.699998922455966,-2.64429501209182,0.00818612737061398,0.0326021420499235
"C1_01330C",1254.808716899,1.63839216028776,0.286132542461608,5.72599029174597,1.02832101728469e-08,1.452866917994e-07
"C1_01360C",6971.60805817709,1.07471696759274,0.224473852552789,4.78771560861415,1.68690464838939e-06,1.75591438400532e-05
"C1_01370C",12218.5350001004,1.80610431518267,0.168760278638205,10.7021885111642,9.94023297927087e-27,7.91761166001053e-25
"C1_01400C",1349.89447513371,-1.23050558079662,0.207971970200055,-5.91668954048451,3.28485886512739e-09,4.98717798970723e-08
"C1_01480C",34423.216783572,2.11662064836467,0.143324019823979,14.7680804024627,2.35320203706512e-49,1.07776653297582e-46
"C1_01560W",2564.692173188,-1.03557316096863,0.327047010049606,-3.16643518866466,0.00154319730408195,0.00799379112463185
"C1_01580W",1186.26596258501,1.02994996707784,0.24062308400562,4.2803456340614,1.86603281763171e-05,0.000159746360836509
"C1_01680C",665.799167905517,1.10971372003323,0.265713801135862,4.17634957344884,2.96224477703841e-05,0.000241909320870774
"C1_01760W",756.311099548029,-1.49527981283573,0.253014059535688,-5.90986846968011,3.42381002524251e-09,5.16957689525627e-08
"C1_01980W",1812.4926988104,-3.50893832670654,0.464791948531026,-7.54948173649851,4.36993663606273e-14,1.17156935374638e-12
"C1_02040C",2071.93050653085,-1.0794823735319,0.32800304538,-3.29107424073242,0.000998055695772064,0.00545259851288595
"C1_02120C",11571.0704260314,-1.38035714270751,0.140137502459757,-9.85001957705009,6.85306260055395e-23,4.09396000572223e-21
"C1_02130C",7826.66198100126,-3.04460734899949,0.388782087229753,-7.83114101447853,4.83462043587548e-15,1.41335499550913e-13
"C1_02150W",6208.85541440593,-3.37564058402944,0.362190763331372,-9.32006259072109,1.16271690710979e-20,5.23794436186509e-19
"C1_02180W",2745.85573651827,-1.13632842146902,0.40648248176159,-2.79551634438086,0.00518168816092997,0.0222488735409931
"C1_02250W",4840.1208834346,-1.14036597064275,0.267689534561495,-4.26003195272762,2.0439768119287e-05,0.000173359514789508
"C1_02270C",1661.27768469374,-3.12869971387151,0.482862031960495,-6.47949001326217,9.20331581225874e-11,1.73819325443897e-09
"C1_02300W",397.4748870444,1.23150512295225,0.384327982345704,3.2043077254898,0.0013538768644678,0.00712730579225577
"C1_02330C",15958.6005238421,2.20988923648954,0.273365735403866,8.084002310036,6.26751441154988e-16,1.96835766890732e-14
"C1_02370C",2711.08353778853,-1.05201870711994,0.347089338799985,-3.03097384309513,0.00243766364320537,0.0118982232531587
"C1_02420C",51923.7490209823,-1.11995468541647,0.102482667286166,-10.9282351355003,8.44753704961191e-28,7.36947041661382e-26
"C1_02450C",506.316259570517,1.05753102499826,0.406662644289676,2.60051184894415,0.00930848043936197,0.036334807169555
"C1_02460W",27780.2956360448,1.24598472558801,0.123335992206811,10.1023610650388,5.39279043052731e-24,3.61448490319245e-22
"C1_02480W",4356.3371513968,1.04690267237648,0.19825665170611,5.28054248554735,1.28801952152334e-07,1.62361359869089e-06
"C1_02590C",14945.8626413286,1.88937279624115,0.183101603926794,10.3187124291743,5.79956557461727e-25,4.0347357465945e-23
"C1_02600W",1075.51374084094,1.12276498438758,0.322773297168682,3.4784940211483,0.000504239686189873,0.00304873632046154
"C1_02610W",2723.93935627693,1.44645121161795,0.383418370852134,3.77251410359724,0.000161610828041177,0.00112432039356242
"C1_02620C",5291.04663209765,1.4087534874708,0.170954212348737,8.24053100602762,1.71448026816726e-16,5.64238536158518e-15
"C1_02630C",598.521539256379,-1.55923306617027,0.301637319808619,-5.16923127138102,2.35058866247701e-07,2.81456106513587e-06
"C1_02980W",753.325663283822,3.14596737368634,0.348004287223507,9.0400247617232,1.56636331751441e-19,6.52176726746907e-18
