Geneid,Fluconazole_rna1,Fluconazole_rna2,Fluconazole_rna3,Fluconazole_rna4,Nodrug_rna1,Nodrug_rna2,Nodrug_rna3,Nodrug_rna4
C1_02100W,153,210,319,156,285,223,397,28
C1_02110C,1372,377,364,2674,2994,170,167,1838
C1_02120C,16271,18916,20157,18243,5127,8083,5745,6629
C1_02130C,10889,12094,15696,21599,2115,1073,833,2507
C1_02140C,5,3,0,0,0,0,39,1
C1_02150W,7924,12060,12645,16858,1111,789,561,1815
C1_02160W,181,167,167,111,254,108,174,325
C1_02170C,369,341,563,403,269,206,153,581
C1_02180W,2626,3441,4437,5898,1974,930,1028,2708
C1_02190W,161,211,183,118,295,317,224,252
C1_02200C,91,187,133,207,175,142,190,61
C1_02210W,702,1029,1002,1114,844,1121,1161,728
C1_02220C,1228,2128,2094,1731,1131,1495,903,2938
C1_02230W,1795,2897,2981,1156,1890,2635,2517,2350
C1_02240W,3373,5871,6506,3676,1969,4823,3556,3903
C1_02250W,4329,10302,10945,5283,1654,3406,3044,4056
C1_02260C,1234,4139,4033,2545,1721,3148,3237,2916
C1_02270C,2492,4029,3893,2969,403,291,66,574
C1_02280C,602,968,1440,572,409,912,910,146
C1_02290C,701,1215,1460,838,926,1268,1342,532
C1_02300W,299,297,238,204,290,716,436,821
C1_02310C,149,337,535,211,201,506,314,222
C1_02320C,2843,3377,3982,3770,1449,1770,1663,3158
C1_02330C,2875,6938,10212,6048,17236,27052,32831,27180
C1_02350W,442,571,560,380,352,629,710,336
C1_02360C,122,148,88,75,15,98,156,0
C1_02370C,3354,6172,6016,1511,1015,2649,1711,1770
C1_02380C,153,237,169,118,103,156,123,189
C1_02390W,212,909,643,321,348,505,521,382
C1_02400C,375,1129,1347,534,422,632,866,971
C1_02410C,1205,1422,2173,1174,1153,1490,1216,596
C1_02420C,67061,94831,89946,66061,24884,38095,30873,36456
C1_02430C,2325,3762,3638,1656,1683,3184,3889,2563
C1_02440C,317,461,500,235,343,215,267,8
C1_02450C,264,402,664,196,425,553,677,1071
C1_02460W,15682,19068,22443,16129,36385,40348,39628,37084
C1_02470W,170,133,172,36,109,110,136,1376
C1_02480W,1992,4235,4407,2417,4271,7358,5326,6527
C1_02490C,843,2089,2145,1701,1343,2374,2233,2427
C1_02500W,103,426,418,177,188,252,319,414
C1_02510W,418,534,625,338,199,464,391,274
C1_02520W,0,32,42,29,76,26,0,0
C1_02530C,2691,2750,2053,3923,3462,3056,2286,5124
C1_02560W,6,10,6,22,13,19,0,0
C1_02570C,161,221,198,142,180,131,82,160
C1_02580W,213,195,88,277,380,253,71,345
C1_02590C,5885,7876,7734,6675,14585,29894,20400,29962
C1_02600W,545,917,1060,564,649,2011,1323,2027
C1_02610W,1390,1953,1975,1252,2033,3440,2227,8428
C1_02620C,2368,3872,3920,2863,5033,8275,7935,9459
C1_02630C,768,1146,1369,765,255,218,299,419
C1_02640C,1949,2501,3188,2314,2734,3160,4185,1264
C1_02650W,3947,3699,4046,3341,1568,1741,1700,4096
C1_02660C,755,1179,1495,1116,801,936,612,711
C1_02670C,79,59,53,130,54,34,51,0
C1_02680C,256,416,396,286,477,483,289,322
C1_02690C,6,1,1,8,0,0,0,1
C1_02700C,3739,2466,3111,3330,1098,1652,906,3151
C1_02710W,4933,6227,7045,4726,4522,6342,5500,3016
C1_02720W,740,831,876,557,714,774,808,214
C1_02730W,47,88,76,75,67,60,102,0
C1_02740C,243,323,279,121,124,186,252,592
C1_02750C,2288,2847,2850,2180,2849,4053,4671,3989
C1_02760W,2773,3957,4236,3286,3025,4059,4610,5393
C1_02770W,743,786,993,750,746,1106,1133,787
C1_02780W,2824,3151,3592,2874,1995,3915,3261,6030
C1_02790W,3168,3284,3433,2122,3048,4161,2973,3671
C1_02800W,63,99,91,184,77,247,239,327
C1_02810W,991,1084,1018,642,1060,2015,1644,1816
C1_02820W,4903,7075,5891,4892,5354,11417,7270,10136
C1_02830W,555,948,755,491,451,689,543,467
C1_02840W,705,852,855,1114,1087,1152,1134,2316
C1_02850W,1457,2367,2321,1769,1082,1214,1219,1198
C1_02860C,1404,2596,2817,1791,1282,1856,2028,2606
C1_02870W,551,727,707,576,431,557,564,365
C1_02880C,1323,1796,2376,1518,2219,2494,2440,1285
C1_02890C,413,465,428,387,339,237,240,719
C1_02900C,718,797,662,490,444,710,500,36
C1_02910C,251,355,510,263,186,244,208,17
C1_02920W,1102,1212,1306,992,1190,1729,1112,1796
C1_02930C,553,986,1018,637,419,925,481,303
C1_02940C,960,726,669,626,351,790,369,799
C1_02950W,56,117,191,99,133,122,72,0
C1_02960C,949,1603,1545,1565,1407,1880,1288,2996
C1_02970W,1899,2571,2808,2257,3289,4239,3614,4298
C1_02980W,136,195,250,115,959,2360,1289,859
C1_02990C,4557,6190,5385,3635,1315,4408,2605,4052
C1_03000W,120,420,393,264,201,240,127,280
C1_03010W,4302,6517,8045,4383,16083,18784,20153,17358
C1_03020C,15924,19273,24024,15603,39385,51712,52930,48078
C1_03030W,1895,1504,1545,633,5581,2501,2537,4581
C1_03040W,108,203,238,109,181,321,137,171
C1_03050W,1072,1869,1399,1214,679,1255,878,1207
C1_03060C,266,270,404,222,394,384,313,0
C1_03070C,1891,1974,2334,1661,1191,1956,1374,3250
C1_03080C,355,276,414,102,186,191,195,267
C1_03090W,17874,27089,33186,22965,49120,60729,69006,55133
C1_03100W,58,176,234,123,127,261,281,732
C1_03110W,1105,1240,1777,845,2742,2991,2676,1162
C1_03120W,1250,1415,1662,2112,1167,1666,1196,4700
C1_03130C,3764,4646,5428,4218,3150,3855,4100,5158
C1_03140W,466,396,242,383,303,201,196,1
C1_03150C,734,861,1040,668,524,1248,954,1311
C1_03160C,2134,2153,2110,2779,988,1285,1102,1334
C1_03170C,166,561,519,287,155,366,158,265
C1_03180W,194,297,382,176,354,334,188,2
C1_03190C,32990,53440,52559,44933,40604,48817,54048,64113
C1_03200C,1138,1338,1182,529,477,984,701,1510
C1_03210C,4619,5652,4615,2652,2294,3629,2147,2485
C1_03220C,17361,21017,22655,17336,15684,19193,20665,23339
C1_03230C,1168,1476,1255,882,1220,1576,1843,978
C1_03240W,1037,972,916,743,870,1128,850,703
C1_03250C,460,714,522,477,310,549,422,511
C1_03260W,568,661,714,334,355,555,295,322
C1_03270W,29,56,44,58,40,10,9,0
C1_03280W,2459,2991,3604,2641,1834,2438,2401,2046
C1_03290W,653,966,920,525,705,1109,831,852
C1_03300C,1771,2090,2074,1563,1289,1745,1604,2794
C1_03310W,2064,1980,2900,2142,2008,2453,2676,2136
C1_03320C,926,1612,1287,1229,626,773,493,1896
C1_03330C,1139,1266,1331,965,579,265,304,913
C1_03340C,1084,1593,1886,895,1136,1709,1838,700
C1_03350C,3195,5066,5898,2431,3949,6494,6452,4441
C1_03360W,3110,3682,3641,3046,3771,4810,3558,2047
C1_03370W,7175,11899,12956,6882,18759,31053,33181,28004
C1_03380W,8028,9124,9305,12343,9053,13544,11253,19217
C1_03390W,800,1501,897,1345,1058,1496,831,275
C1_03400W,1046,1501,1531,1912,1740,1724,1862,1407
C1_03410W,48,159,219,73,79,224,183,0
C1_03430W,499,615,479,330,273,559,566,450
C1_03440C,1093,1937,1934,1100,1088,1673,1509,1492
C1_03450C,2557,3545,3362,3228,2272,3335,2593,2434
C1_03460C,1471,2290,2260,382,284,923,624,99
C1_03470C,64,28,13,38,0,32,0,0
C1_03480C,1165,1643,1256,1134,1175,1417,888,4010
C1_03490W,1015,1209,1224,947,1282,1156,1471,1636
C1_03500W,4035,3569,3800,3137,2289,2604,2401,2787
C1_03510C,8497,11262,10996,11596,8995,13225,11274,21556
C1_03520W,4623,5656,6005,4416,2924,3427,3054,5938
C1_03530W,61,204,386,138,56,246,166,178
C1_03540C,285,383,317,238,334,427,607,449
C1_03550C,7625,7802,7671,7703,2933,3836,3556,3689
C1_03560C,3472,3849,2993,4146,2953,3024,2888,4053
C1_03580W,0,0,0,0,0,0,0,0
C1_03600W,2037,2456,2781,1687,1321,1775,1116,2787
C1_03610C,714,656,873,534,379,710,509,3792
C1_03620C,7153,8478,9462,7929,15346,14420,11440,20846
C1_03630W,801,1280,1428,745,951,911,1044,925
C1_03640C,298,436,284,200,326,305,409,246
C1_03650C,624,980,1481,968,987,1348,1454,67
C1_03660W,174,188,152,204,171,268,132,409
C1_03670C,1907,2658,2798,2691,1078,897,780,2252
C1_03680W,1530,1764,1730,2126,4584,4816,5428,4203
C1_03690W,1694,1994,1990,1635,1247,1536,1105,1149
C1_03710C,1413,2911,2108,828,635,1318,783,2887
C1_03720C,835,1229,1628,964,842,1073,1067,2146
C1_03730C,2244,2803,3445,1941,2114,2251,2526,1833
C1_03740W,628,978,548,605,703,634,543,1266
C1_03750W,291,483,385,416,693,1017,756,529
C1_03760C,912,1491,1858,1263,1649,2296,2237,2333
C1_03770W,1,30,63,32,114,164,103,0
C1_03780C,3823,6389,5963,3589,3934,6908,5528,4334
C1_03790C,873,1693,2013,1325,1958,2757,2991,3605
C1_03800W,72,190,268,140,144,352,248,478
C1_03810C,366,353,410,250,251,355,393,363
C1_03820W,418,808,646,772,574,1213,1125,422
C1_03830C,518,608,596,463,622,740,1001,416
C1_03840W,63,78,114,21,49,123,147,2
C1_03860C,2885,4632,3762,2465,2116,3098,2623,4496
C1_03870C,1960,3700,4515,2620,1094,1070,735,2827
C1_03880C,0,0,0,0,0,0,0,0
C1_03890W,22,14,5,6,2,13,1,1
C1_03900W,65,238,260,113,130,165,142,16
C1_03910C,1000,1270,1366,788,491,654,464,1030
C1_03920C,223,456,244,272,173,231,180,2
C1_03930W,440,752,806,573,700,889,575,39
C1_03940W,3677,4608,3939,2935,2377,2135,2301,1467
C1_03950C,795,1856,1537,1161,595,1352,1199,1569
C1_03960C,1148,2052,2042,1633,1078,1531,1624,2969
C1_03970W,0,4,0,10,1,0,0,0
C1_03980W,145,177,450,99,114,162,275,16
C1_03990W,380,653,634,350,377,434,326,178
C1_04000C,2233,3857,3633,2237,936,1208,935,1657
C1_04010C,4543,7291,6679,5410,394,179,82,845
C1_04020C,21748,28509,22823,19060,2638,4419,2112,4810
C1_04030W,1044,1571,1898,1228,1002,1267,1000,402
C1_04040C,624,1080,1269,727,1029,1298,1212,1173
C1_04050C,0,3,0,2,0,0,2,0
C1_04060W,27,45,43,7,5,10,18,0
C1_04070C,264,705,850,441,238,441,521,2
C1_04080W,276,400,475,250,268,335,241,753
C1_04090C,422,560,740,428,426,458,332,431
C1_04100C,14347,25107,23776,22418,11729,15461,15241,23387
C1_04110W,252,383,567,468,466,727,592,758
C1_04120C,194,313,343,287,286,460,480,410
C1_04130W,1260,2239,2820,1331,1730,2295,2504,1207
C1_04140W,1260,2721,2178,1970,233,510,306,14
C1_04150C,121,390,292,215,116,286,400,787
C1_04160C,167,272,275,152,159,196,194,570
C1_04170C,3860,4588,6474,4243,7862,12957,10030,8985
C1_04180W,2267,3728,5429,3570,6713,8803,7848,7913
C1_04190C,807,1532,1839,1149,1547,2247,1604,2240
C1_04200C,2305,2992,3963,2563,2460,3979,3671,3211
C1_04210C,3593,5547,6410,4003,2413,4970,4566,4896
C1_04220C,405,528,384,374,245,579,208,1107
C1_04230W,1224,1455,1834,1209,869,1485,1152,2081
C1_04240C,1723,3143,3895,2204,3243,7585,4679,2566
C1_04250C,5,74,84,53,76,29,51,0
C1_04260W,3349,3093,4956,2696,7192,10141,8700,6146
C1_04270C,20,372,647,339,379,1658,1373,983
C1_04280C,473,415,495,468,657,538,401,14
C1_04290C,9458,17058,12950,8041,12313,19272,15124,16684
C1_04300C,3745,5613,6723,3505,27298,38216,44296,31884
C1_04310C,46,68,103,33,166,103,111,0
C1_04320W,851,1463,1347,1275,977,1870,2194,1732
C1_04330W,15561,17102,16549,19015,1649,1535,1414,2493
C1_04340C,1527,2497,2883,2664,430,486,410,396
C1_04350C,456,641,778,698,269,268,250,1178
C1_04360C,6344,8552,10354,7927,3283,4171,5761,7445
C1_04370C,1681,1551,1808,1426,878,1292,1333,731
C1_04380W,1456,1496,1776,1470,1185,872,1058,386
C1_04390C,1215,1525,2235,1344,1211,2300,1639,868
C1_04400C,15302,16537,17296,15866,26823,38095,37852,41377
C1_04410C,881,1145,971,771,1091,1284,1195,2414
C1_04420C,2091,2562,2627,1849,1630,2142,2042,2228
C1_04430C,974,1239,1044,995,210,393,605,1677
C1_04440W,0,0,0,0,0,0,0,0
C1_04450C,4532,6856,6440,5176,2073,2264,2171,1136
C1_04460C,1463,1343,1435,1438,395,240,323,42
C1_04470C,2537,2261,2407,1831,202,137,68,483
C1_04480C,4187,3985,3076,4265,1673,2001,1061,2033
C1_04490W,1282,975,703,1044,745,1063,725,605
C1_04500W,2123,1618,1947,2889,480,437,384,218
C1_04510W,467,662,481,439,175,352,253,295
C1_04520C,1869,2304,2687,1956,1489,1641,1417,2475
C1_04530C,363,983,736,720,225,481,593,1217
C1_04540C,1184,1680,1664,1472,1148,1216,1059,958
C1_04550W,88,181,155,173,180,240,124,481
C1_04560W,569,927,864,526,453,477,370,159
C1_04570C,197,179,284,154,260,393,119,2
C1_04580C,852,853,1010,1066,473,483,420,1189
C1_04590W,3638,4048,5109,3854,1453,1309,1640,1931
C1_04600C,2110,2413,2556,1877,1149,1716,1505,1006
C1_04610W,3092,5344,4547,4889,1975,2186,2920,2246
C1_04620W,993,1527,1467,669,963,1291,1110,1502
C1_04630C,1987,2815,2478,1747,1037,1170,882,2724
C1_04640W,1133,1132,1126,1065,830,561,655,1584
C1_04650W,40,221,227,161,50,68,1,212
C1_04660W,1476,1735,1522,1023,810,644,748,1194
C1_04670W,534,903,1141,475,793,1563,1439,493
C1_04680W,17004,16695,18916,18899,30231,48380,42768,62628
C1_04690C,129,68,59,81,69,21,117,0
C1_04700C,3329,4292,4416,3404,1941,3104,2043,4892
C1_04710C,92,336,370,208,422,607,590,946
C1_04720W,63,326,251,92,40,307,294,0
C1_04730C,2934,3519,3386,2684,2708,4061,3287,3136
C1_04740W,1393,1702,1439,1608,950,1274,1126,3144
C1_04750W,261,479,653,333,923,2118,1433,1996
C1_04760C,518,645,640,320,1130,1848,1748,1177
C1_04770C,14893,28057,26997,21803,4093,7798,6864,14846
C1_04780C,798,1657,1697,1090,1124,1117,1224,1983
C1_04790W,205,558,404,242,251,410,314,2
C1_04800C,12,48,111,51,14,21,3,0
C1_04810W,1059,1275,1021,996,873,605,771,1382
C1_04820C,355,469,578,313,448,565,410,268
C1_04830W,7085,9454,10534,7577,5734,8968,7242,10508
C1_04840C,189,271,488,184,175,365,192,375
C1_04850C,18,68,84,68,140,121,228,68
C1_04860W,2090,3107,2648,2292,1759,2072,1730,1656
C1_04870W,49,86,129,77,34,48,35,0
C1_04880C,221,544,741,251,579,700,637,64
C1_04890W,3619,5356,6206,3476,4830,8698,7046,8716
C1_04900W,1170,1803,1445,892,580,614,371,1564
C1_04910C,710,1226,1218,852,806,1140,1073,1106
C1_04930C,203,148,134,98,38,58,3,1183
C1_04940C,25,47,29,46,34,83,0,0
C1_04950C,6344,10724,10381,10614,4092,4918,5044,5901
C1_04960C,351,870,1291,747,786,871,839,581
C1_04970W,4678,7841,10448,6984,5096,8158,8757,8366
C1_04980C,1378,1874,1947,1391,1579,1465,1089,1189
C1_04990C,226,714,545,439,315,567,345,1
C1_05000W,2743,6833,7780,3991,3409,7244,7291,6142
C1_05010C,1021,1596,1950,1088,1751,1714,1841,4372
