Geneid	Fluconazole-rna1	Fluconazole-rna2	Fluconazole-rna3	Fluconazole-rna4	Nodrug-rna1	Nodrug-rna2	Nodrug-rna3	Nodrug-rna4	Fluconazole-ribo1	Fluconazole-ribo2	Fluconazole-ribo3	Fluconazole-ribo4	Nodrug-ribo1	Nodrug-ribo2	Nodrug-ribo3	Nodrug-ribo4	Length
C1_00010W	12.449099834137108	2.7275123016584524	0.0	3.4982893784530273	1.9839668139625803	0.0	0.0	0.0	12.628587863695243	9.371166000041892	2.1723538892484786	3.9645696657900533	27.07365724011573	23.357818669782368	0.5900223644588151	2.17586437941879	33.53982619781849
C1_00020C	0.0	6.6161015353149	0.22792792445072899	5.977659520463426	0.0	0.0	0.0	0.0	0.0	0.242619184467104	0.6749060626791391	0.5388735468064151	21.72901940307023	3.7627841654306007	0.0	0.0	30.844661592636648
C1_00030C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.242619184467104	1.0123590940187086	0.5388735468064151	1.401872219552918	0.0	0.0	0.0	30.844661592636648
C1_00040W	7.366966391517127	4.60310512522472	6.387218439112025	2.6395798937783423	1.5113652875410228	5.085035194736685	9.255696416329156	0.0	0.534462606081419	0.45326074969972874	5.421690964218694	0.6040335887418945	1.5713851844323519	4.686418005312598	4.91423705730631	5.304162743540848	82.55189364760683
C1_00050C	0.2635726240875909	0.8173414790254091	0.6124324230893501	0.0	14.49158368459624	0.0	0.0	44.1025600248263	1.0249288700970054	0.6519072000029142	0.0	0.0	0.0	1.4042274240556227	0.0	0.0	34.43821439954577
C1_00060W	768.8769758858367	567.5727916632501	365.3625595180798	563.7394992330092	453.69047297588514	520.406925183338	446.44139864635787	453.0826002336691	663.6989054454364	730.5602360917054	627.0212004070127	557.8096925980768	768.2556432255202	1108.164300925058	563.3710952558694	787.2807889266845	158.01650259269843
C1_00070W	383.21576880735097	371.36129030272775	227.01010754066397	370.3189184905276	371.2497900627479	471.3056467464989	337.4833440627173	584.6845401917692	19.73216853702382	58.90447200026332	107.06601311296073	108.53009460100272	30.94132256013226	25.953131855313742	23.010872213893787	87.03457517675162	11.179942065939498
C1_00080C	153.6963685160943	107.19664548013017	86.7720802984899	139.33822570290647	77.83038716824228	80.80479665118985	67.49923337308195	28.536598026392774	105.47622678617547	113.29287140686688	98.1320569616698	146.5069595930473	86.22752553271252	127.24880667811465	89.08295260988073	123.14008445502243	84.74795369627351
C1_00090W	2.9785230063077472	11.002219475609373	2.171244043322551	10.35331885415	8.188163613695275	0.8465553372539232	3.915525569749968	0.0	0.0	5.92243246245422	0.0	2.566657818314948	0.41732034281488595	4.48054068253586	0.5729696949657856	4.225956251356725	51.807052966273204
C1_00100C	16.655963101376724	29.082385547005583	6.043475066129229	14.06243057081118	2.4062963832714463	17.814781198958798	11.625104958901225	0.0	0.36468694325852596	9.402093940636089	0.7743043565638142	12.91429128757354	11.794464540248436	25.74185223404936	1.717490843078135	9.852428807137228	120.98294449927384
