Geneid,Fluconazole_rna1,Fluconazole_rna2,Fluconazole_rna3,Fluconazole_rna4,Nodrug_rna1,Nodrug_rna2,Nodrug_rna3,Nodrug_rna4,Fluconazole_ribo1,Fluconazole_ribo2,Fluconazole_ribo3,Fluconazole_ribo4,Nodrug_ribo1,Nodrug_ribo2,Nodrug_ribo3,Nodrug_ribo4
C2_05360C,7.654621074,7.786092522,7.652663054,9.47357649,7.760567502,1.648779333,6.591874958,0,12.98294227,3.759655852,2.92586888,5.069915358,5.430894825,12.26330672,0.23671345,2.036868864
C2_05370C,10.61385233,20.99085951,18.4882232,13.67982812,15.28382248,23.56342676,18.16904597,55.73267679,35.41900751,29.89486781,32.4393808,15.70717548,14.54934987,29.08135594,43.02131626,34.94651737
C2_05380W,25.57324433,32.67431969,35.88145181,36.96191525,37.08912758,26.37599049,26.41402114,10.5077739,95.76280716,53.88547156,62.25926301,39.44414471,96.28792321,94.2715816,64.0632179,51.40170692
C2_05390C,5.090372053,16.86156753,33.24354877,12.92497755,9.541214449,13.0962203,25.59588032,31.56842083,4.72367027,24.79901435,17.51149395,16.94777872,12.67570721,3.821428066,1.261116504,13.95210747
C2_05400W,3.313092451,8.852095378,13.51774232,6.336524157,8.294710961,5.676303428,9.783973652,0.038074629,11.44542804,5.755615292,11.66880528,6.283468904,9.864182209,7.060422598,0.451441965,7.452016977
C2_05410W,4004.319153,2879.28231,4196.084436,2602.727298,10110.62953,6746.214053,8712.978458,5767.462217,2334.615087,731.6283817,282.667735,1761.415313,3825.540387,4423.16412,5387.316492,2645.431642
C2_05440W,54.14795726,57.15436593,66.98295551,55.14927029,36.96071245,23.86352086,23.28214702,26.30534645,58.46661074,39.04343221,47.40217528,58.50291713,32.77942093,13.92389807,19.17981611,21.50874254
C2_05450C,27.12476792,25.63480093,44.31870709,35.89721942,22.96216136,13.81922567,24.34355663,31.00599834,2.63693525,15.0151637,20.29176019,26.01748843,10.76793186,4.679428319,1.267207124,6.577044601
C2_05460W,4144.441742,3741.77478,3386.034248,4177.85727,7917.573635,8192.513162,7340.601125,9302.246033,5299.538823,6025.413917,6231.628543,5922.838795,11306.70756,16148.80135,10539.52533,16686.13734
C2_05470W,244.2623452,171.0036969,201.8592641,174.6802738,114.1818558,118.703959,147.8770316,124.4483186,326.2297133,212.4392359,226.3247357,201.3470569,160.8560388,134.7970196,76.83128045,182.5176949
C2_05480C,115.8428099,90.43546699,111.6836677,64.51188431,35.44628459,52.28172774,64.57041766,42.75009159,32.48556566,12.68968581,50.85920731,49.69398236,9.647628415,25.24794654,7.285265008,30.39425699
C2_05490W,29.17348397,36.37207919,29.86326206,23.62822094,11.41246201,6.123515262,19.06339372,0,29.85369739,25.59928273,46.16965264,29.67848587,3.657229496,7.998563714,1.859732781,10.05878017
C2_05500W,1701.507118,1621.690076,1620.749698,1459.41751,632.1210986,608.8819525,705.2401808,621.82246,1629.967695,1306.842384,1402.842039,1436.051624,379.0312014,406.3626984,644.9814968,371.8706794
C2_05510C,69.73960204,79.76139789,60.40923881,40.89870021,47.53455448,37.63410421,42.08420677,85.52111106,66.89900305,32.96415574,55.95135871,54.71428462,10.71207034,19.89036772,4.835305231,13.53871169
C2_05520W,3.54282683,20.1416293,4.573359004,49.06691596,49.77953097,72.54775062,153.9513463,0,0,24.34069091,0,8.64997018,11.25139002,7.550001994,5.14928609,6.329787286
C2_05530C,75.75413181,80.28380087,86.83483237,77.01545114,54.68703669,49.52706577,53.45078608,76.94717842,32.99913248,105.6851377,89.24122077,48.63967488,76.7429313,51.97452688,93.63359465,64.34483312
C2_05540C,47.2215995,36.28847672,37.53408704,41.5027942,32.29615622,28.1758188,32.61297861,72.56390175,74.28018751,38.59132706,44.44034179,26.72258009,37.71046883,29.33889243,80.81475135,28.77873008
C2_05550W,162.8670311,163.0123751,197.8603939,207.0873777,81.97445031,117.3839371,100.1651802,5.697756234,56.48283213,72.38417876,107.8686069,151.650821,16.25517757,29.28369604,187.7922703,59.31768207
C2_05560W,39.81959184,48.51038226,43.73511209,44.87594029,33.11600172,31.46962938,41.25386213,57.28245607,32.52994114,42.76079426,49.59441961,53.00195619,40.84710016,42.5182495,22.61517184,32.05947001
C2_05570C,23.83925379,36.91169321,39.4856576,46.0951071,20.81652326,15.36104037,15.84010656,7.224778352,7.1259352,40.17963984,23.39894908,37.36542129,19.50404356,8.65481347,1.871617784,10.08766754
C2_05580W,112.6521816,120.6520352,92.26310723,69.33546516,29.93136351,37.47983166,31.65515647,32.36280132,147.374366,89.01417092,78.30711012,58.00415439,38.62483417,27.75368408,10.62449142,24.93825065
C2_05590C,47.74694854,45.85642788,30.31441395,34.50739814,31.34860184,28.13299467,28.88206972,61.78763719,21.52785973,38.75841472,23.28425916,24.11459122,21.20331732,15.9918327,17.40279557,22.47689029
C2_05610C,2025.49528,1945.426587,2239.241096,1947.948681,4417.012882,4136.65958,4817.030044,4472.674,1256.559708,1261.020227,1670.252239,1581.06083,4409.28758,4819.252689,4530.791689,3221.495668
C2_05620W,1.887873121,2.439297667,10.96656675,4.648246095,4.90156507,3.474935996,5.390960637,0,0,0,0.360806182,3.456995003,0,8.381634279,0,0
C2_05640W,27.04423361,57.81169318,28.89508294,25.55272242,10.75306343,22.23810364,13.3471972,18.13546351,69.46891557,67.13257123,71.23552328,30.34491158,58.50514645,39.93085005,73.76971572,45.5381644
C2_05650W,73.36429993,64.87218136,65.68858233,56.29290428,55.16776653,49.71002086,55.4266301,40.75373205,51.83204322,59.62723732,48.29337922,56.04575091,57.8834974,45.95099104,77.33721618,56.84344991
C2_05660W,869.9759414,1094.278612,719.5796207,734.7839109,144.5946502,231.0241343,151.477435,251.5882371,1552.208468,1798.659655,1445.502863,966.3472653,243.8475464,276.2284233,249.3149926,357.0090286
C2_05670C,22.55960342,64.37441542,51.67982952,57.681718,35.38200358,43.30137474,34.45102073,4.913952299,56.85274575,31.54720768,31.73958278,49.89002362,14.05350147,14.60771696,23.07843203,26.04393395
C2_05680W,35.20286199,34.91843211,34.70853989,31.688315,26.83703779,30.81897877,30.29001039,35.48685433,37.59070313,18.83664999,33.28339762,27.29311224,37.21411405,19.12061073,16.28309024,22.51260974
C2_05690C,297.2970386,172.0872539,188.6951878,333.5211227,163.7294718,68.50778619,86.41339225,134.7882897,370.9924628,162.6214371,180.3217063,375.3821489,92.82396768,49.7814459,50.9282462,142.0037806
C2_05700W,1190.439885,941.4229256,929.8771806,1418.707844,560.7259811,505.3216777,432.1155995,824.7130436,588.9236011,627.4991785,577.0066665,1219.843576,167.7878019,306.285731,287.2247454,484.1462983
C2_05710C,397.7167781,500.0410106,720.9327247,473.8171779,1546.858527,1649.070972,1902.872077,1724.37479,381.6004966,244.9902655,270.4492125,357.4355551,1252.885554,1296.244241,962.083526,807.3973061
C2_05720C,218.282817,255.914989,236.6404274,242.2844742,164.657059,187.2571343,150.1233668,85.80400614,313.1470906,353.3873606,254.7898901,227.9822377,152.8630573,231.8734847,255.4811335,200.1367541
C2_05730C,30.5915078,56.2079933,52.24262794,39.86322341,26.61822142,30.31754296,36.90080726,8.880456724,28.78460536,59.42784694,68.38891874,45.22546137,24.51113001,28.65880815,3.46729192,23.06595326
C2_05740W,50.32487875,45.59620807,42.06770069,32.11028271,38.52332412,39.3611502,31.69769901,56.64461907,55.38679874,53.92900479,43.28091348,37.17954702,22.17055396,25.01309716,2.230005787,17.40691504
C2_05750W,13.25218636,24.48222849,23.5857696,10.21825921,15.50262441,23.64673742,16.69835067,0,53.72534124,31.3825094,27.07864383,18.32921976,30.89335152,27.86575025,117.4885464,20.21361141
C2_05760C,364.6807358,321.2835504,325.2773705,271.9158169,143.5714521,196.7179278,155.6571486,144.9763798,191.276904,234.8342365,108.6328328,307.7859816,158.857278,264.8485456,11.39750519,177.4656216
C2_05770W,27.13694059,22.88342178,5.531130523,32.96817215,0,0,4.965132424,0,0,0,0,20.92296452,29.48335448,2.029145388,0,0
C2_05780C,58.74124723,61.47347599,55.85489978,63.99820673,45.26026505,29.02758764,34.23664212,31.5834085,41.76473982,34.50865814,29.17834118,43.41590781,17.47748459,12.98895137,22.275968,17.33894877
C2_05790C,109.983566,88.34303008,103.6110586,78.25328438,73.8203314,99.14380881,87.58313772,157.0992437,67.54515833,74.36218203,71.88961547,76.5134026,73.5945894,122.7522214,98.32099441,115.41275
C2_05800C,63.10587117,67.09438975,66.65920121,46.94597987,48.0793967,45.84036004,51.93441317,50.51423679,80.45403729,55.99163294,79.66924825,42.37084699,46.81076493,37.84731667,14.02014808,29.63662467
C2_05810W,52.21968941,41.45661139,26.56184686,32.08149641,21.71737058,20.55232283,16.68217128,65.08045233,19.86683977,18.62849122,19.51879762,23.35396422,28.70315953,16.53204468,5.801832284,34.85227715
C2_05820W,31.63124762,38.61231627,28.83061923,57.76547535,16.01408191,10.6151392,10.89198378,24.48047414,45.4742424,46.58568108,49.56473807,43.84138473,19.28629523,8.751908141,1.270003296,19.67059457
C2_05830C,22.92649481,22.35647433,18.78411354,22.95353906,22.62879281,18.15105162,17.94290782,0,41.94440453,33.6132224,14.82374173,27.71826714,106.1892656,39.91042974,66.78508309,24.42890263
C2_05840W,11.3236767,21.65415166,20.99603232,13.37006597,21.25614558,18.75875355,24.84600444,5.609154332,35.82706549,30.4403762,11.09621972,17.84505169,59.66421067,23.40025775,1.571018039,9.563950299
C2_05850C,26.01916312,32.08954846,33.39905137,27.35940265,21.06057079,26.05082116,32.867246,16.7944034,49.76709774,21.95847181,24.85628254,31.95114725,27.37116996,19.69776161,11.85630739,28.63386024
C2_05860C,18.93429591,17.05721006,17.85803874,11.4187706,4.041142735,3.871178533,4.427825752,9.038780423,22.41457846,17.70493355,14.34646786,9.743185968,14.72852624,4.494712134,0.365770322,11.04793131
C2_05870W,4.041446903,48.04151582,13.56424404,44.15618593,44.44085663,37.19468529,9.031812314,0,1.309631334,53.31152213,0,14.80106009,0,14.35432478,0,10.83096936
C2_05890C,197.1444842,167.4600518,169.5549899,138.3293846,179.4774559,203.9779356,226.2317895,166.5120719,274.3361191,325.6845974,302.4304246,187.3104416,424.4827389,407.9536456,559.1464283,341.5379091
C2_05900W,0,0.507163328,0,0,0,0,0,0,0,0,0,0,0,0,0,1.753214464
C2_05910W,38.16729118,43.5721118,41.66708938,35.38455369,25.12115284,20.28190772,28.47861755,36.11023198,24.55389926,18.2462304,24.51795218,22.7816248,16.52898428,14.88847935,36.93714432,9.801487394
